SSC08100 12 -4  12 -4 
SSC08139 4 0  4 0 
SSC08142 -4 -4  -4 4 
SSC08144 4 4  4 4 
SSC08147 4 4  4 4 
SSC08149 0 16  0 16 
SSC08156 4 4  4 4 
SSC08159 12 4  16 4 
SSC08222 -4 -4  -4 -4 
SSC08223 -4 4  -4 4 
SSC08234 4 4  4 4 
SSC08248 0 0  0 0 
SSC08251 4 -4  4 -4 
SSC08268 4 -4  4 -4 
SSC08269 -4 4  -4 4 
SSC08273 -4 16  -4 16 
SSC08276 12 12  12 8 
SSC08283 -4 20  -4 12 
SSC08337 4 -4  4 -4 
SSC08365 4 -4  4 -4 
SSC08367 4 12  4 12 
SSC08370 16 4  16 4 
SSC08391 4 12  4 12 
SSC08411 4 4  4 4 
SSC08419 4 -4  4 -4 
SSC08428 4 4  4 4 
SSC08436 -4 4  -4 4 
SSC08437 0 -4  0 -4 
SSC08453 -4 -4  -4 -4 
SSC08472 -4 4  -4 8 
SSC08496 12 -4  12 -4 
SSC08568 4 12  4 12 
SSC08570 4 4  4 4 
SSC08572 4 8  4 4 
SSC08576 -4 4  -4 4 
SSC08585 4 -4  4 -4 
SSC08589 12 4  12 4 
SSC08629 -4 4  -4 4 
SSC08631 4 -4  4 -4 
SSC08734 -4 4  -4 4 
SSC08737 -4 12  -4 12 
SSC08751 -4 -4  -4 -4 
SSC08752 -4 -4  -4 -4 
SSC08757 4 4  4 4 
SSC08760 -4 4  -4 4 
SSC08762 4 4  4 4 
SSC08872 4 4  4 4 
SSC08902 -4 -4  -4 -4 
SSC08928 4 -4  4 -4 
SSC08930 -4 -4  -4 -4 
SSC08931 -4 4  -4 4 
SSC08933 4 -4  4 -4 
SSC08941 -4 4  -4 4 
SSC08948 -4 4  -4 4 
SSC08958 4 8  4 8 
SSC08960 8 4  8 4 
SSC08961 -4 -4  -4 -4 
SSC08962 4 4  4 4 
SSC08966 4 4  4 4 
SSC08971 4 12  4 12 
SSC08973 -4 4  -4 4 
SSC08975 4 4  4 4 
SSC08990 4 4  4 4 
SSC08997 4 -4  4 -4 
SSC09000 4 12  4 12 
SSC09001 -8 4  -8 4 
SSC09002 4 4  4 4 
SSC09009 4 -4  4 -4 
SSC09011 -8 12  -8 12 
SSC09019 12 4  12 4 
SSC09023 -4 -8  -4 -8 
SSC09058 4 -4  4 -4 
SSC09063 12 -4  12 -4 
SSC09096 -4 -4  -4 -4 
SSC09104 4 -4  4 -4 
SSC09123 4 4  4 4 
SSC09144 8 -4  8 -4 
SSC09145 12 0  12 0 
SSC09149 12 4  12 4 
SSC09151 -4 -4  -4 -4 
SSC09169 12 4  12 4 
SSC09197 4 -4  4 -4 
SSC09198 12 16  12 16 
SSC09202 0 12  -4 12 
SSC09210 4 8  4 8 
SSC09213 4 4  4 4 
SSC09246 4 4  4 4 
SSC09257 4 4  4 4 
SSC09259 16 4  16 4 
SSC09266 -4 4  -4 4 
SSC09288 4 -4  4 -4 
SSC09301 4 12  4 16 
SSC09304 4 -4  4 -4 
SSC09330 12 4  12 4 
SSC09338 4 -4  4 -4 
SSC09350 -4 -4  -4 -4 
SSC09356 16 4  16 4 
SSC09408 4 -4  4 -4 
SSC09409 4 4  4 4 
SSC09410 4 4  4 4 
SSC09416 12 4  12 4 
SSC09418 -4 16  -4 4 
SSC09421 -4 4  4 4 
SSC09493 4 4  4 4 
SSC09494 -4 -4  -4 -4 
SSC09500 -4 4  -4 4 
SSC09501 0 -4  0 -4 
SSC09510 -4 4  -4 4 
SSC09512 4 4  4 4 
SSC09547 -4 4  -4 4 
SSC09548 12 0  16 0 
SSC09573 -4 4  -4 4 
